sampleid	G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
13722.58cfa831e4b0c9d6adf6c37e	0	0	0	0	0	0	0	0	0	0	0	18464	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0
13722.58cfa831e4b0c9d6adf6c3b8	0	0	0	0	0	0	0	0	0	0	0	19706	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c3ca	0	2	0	0	0	0	0	2	0	0	0	19008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3d6	0	15	0	0	0	0	0	0	0	0	0	19005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3dc	0	0	0	0	0	0	0	0	0	0	0	5166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3f0	0	0	0	0	0	0	0	0	0	0	0	6662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3fc	0	0	0	0	0	0	0	0	2	0	0	21895	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c444	0	0	1	0	0	0	0	4	0	0	0	17633	0	0	0	0	8	0	0	0	0	0	0	0	1	0	1	5	0	0	0
13722.58cfa831e4b0c9d6adf6c39a	0	0	0	0	0	0	0	0	0	0	0	19917	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c481	0	0	0	0	0	0	0	0	0	0	0	26438	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3fa	0	0	1	0	0	0	0	0	0	0	0	27134	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	0
13722.58cfa831e4b0c9d6adf6c488	0	0	0	0	0	0	0	0	0	0	0	6228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c4ae	0	0	1	0	0	0	0	0	0	0	0	15900	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c53a	0	0	0	0	0	0	0	0	0	0	0	20538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
13722.58cfa831e4b0c9d6adf6c57b	0	0	0	0	0	0	0	0	0	0	0	4526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c594	0	0	0	0	0	0	0	0	0	0	0	5106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
13722.58cfa831e4b0c9d6adf6c5c8	0	0	0	0	0	0	0	0	0	0	0	5546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c5b3	0	0	0	0	0	0	0	14	0	0	0	9237	0	0	0	0	14	0	0	0	0	0	0	0	4	2	0	174	0	2	0
13722.58cfa831e4b0c9d6adf6c576	0	0	1	0	0	0	0	0	0	1	0	15293	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	9	0	0	0
13722.58cfa831e4b0c9d6adf6c4c4	0	0	1	0	0	0	0	0	0	0	0	20880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
13722.58cfa831e4b0c9d6adf6c518	0	0	5	0	0	0	0	3	0	0	0	12767	0	0	0	0	19	0	2	0	0	0	0	0	0	0	2	6	1	1	0
13722.58cfa831e4b0c9d6adf6c5b8	0	0	3	0	0	0	0	0	0	0	0	17186	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6	6	3	0
13722.58cfa831e4b0c9d6adf6c5e2	0	0	0	0	0	0	0	1	0	0	0	3354	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0
13722.58cfa830e4b0c9d6adf6c214	0	0	0	915	0	2	0	0	1	0	0	22868	4	0	0	0	6	0	0	0	0	0	0	0	0	0	1	15	0	0	0
13722.58cfa831e4b0c9d6adf6c5f4	0	0	0	0	0	0	0	6	0	0	0	20827	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0
13722.58cfa831e4b0c9d6adf6c61a	0	0	0	0	0	0	0	0	0	0	0	16764	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0
13722.58cfa831e4b0c9d6adf6c5da	0	0	2	0	0	0	0	2	0	0	0	22999	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
13722.58cfa831e4b0c9d6adf6c5dc	0	0	0	0	0	0	0	2	0	0	0	26445	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	4	0	1
13722.58cfa831e4b0c9d6adf6c670	0	0	0	0	0	0	0	0	0	0	0	14459	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
13722.58cfa831e4b0c9d6adf6c65d	0	0	0	0	0	0	0	6	0	0	0	20827	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0
13722.58cfa831e4b0c9d6adf6c5ed	0	249	0	0	0	3	0	0	0	0	0	5869	61	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c61d	0	0	2	0	0	0	0	2	0	0	0	18492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
13722.58cfa831e4b0c9d6adf6c63c	0	0	2	0	0	0	0	0	0	0	0	22579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c6de	0	0	0	0	0	0	0	0	0	4	0	24647	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0
13722.58cfa831e4b0c9d6adf6c671	0	0	0	0	0	0	0	0	0	0	0	20068	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	6	2	1	0
13722.58cfa831e4b0c9d6adf6c6e7	0	0	4	0	0	0	0	0	0	2	0	19794	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0
13722.58cfa831e4b0c9d6adf6c6e2	0	0	2	0	0	0	0	0	0	1	0	28691	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	1	0	0
13722.58cfa831e4b0c9d6adf6c73a	0	0	0	0	0	0	0	2	0	0	0	9522	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
13722.58cfa831e4b0c9d6adf6c6be	0	0	0	0	0	0	0	0	0	0	0	17281	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	1	1	0
13722.58cfa831e4b0c9d6adf6c6fe	0	0	0	0	0	1	0	2	0	0	0	22483	6	0	0	0	2	0	0	0	0	0	0	0	0	0	3	8	2	0	1
13722.58cfa831e4b0c9d6adf6c6f2	0	0	3	0	0	0	0	4	0	0	0	22754	1	0	0	0	4	0	0	1	0	0	0	0	0	0	1	5	0	1	1
13722.58cfa831e4b0c9d6adf6c6f0	0	0	2	0	0	0	0	0	0	0	0	14673	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
13722.58cfa831e4b0c9d6adf6c702	0	0	2	0	0	0	0	2	0	0	0	24383	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0
13722.58cfa831e4b0c9d6adf6c740	0	0	1	0	0	0	0	2	0	0	0	22037	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0
13722.58cfa831e4b0c9d6adf6c784	0	0	6	0	0	0	0	2	0	0	0	11217	0	0	1	0	11	0	0	0	0	0	0	0	0	0	2	6	3	5	0
13722.58cfa831e4b0c9d6adf6c7aa	0	0	5	0	0	0	0	0	0	2	0	23519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
13722.58cfa831e4b0c9d6adf6c7b1	0	0	2	0	0	0	0	2	0	0	0	12920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
13722.58cfa831e4b0c9d6adf6c7a2	0	0	3	0	0	0	0	1	0	0	0	18351	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0
13722.58cfa831e4b0c9d6adf6c7c8	0	0	3	0	0	0	0	0	0	0	0	9741	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0
13722.58cfa831e4b0c9d6adf6c78a	0	0	5	0	0	0	0	0	0	0	0	20437	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
13722.58cfa831e4b0c9d6adf6c7de	0	0	3	0	0	0	0	0	0	0	0	30637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
13722.58cfa831e4b0c9d6adf6c7f7	0	0	1	0	0	0	0	0	0	0	0	30755	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
13722.58cfa831e4b0c9d6adf6c803	0	0	3	0	0	0	0	0	0	0	0	15664	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0
13722.58cfa831e4b0c9d6adf6c822	0	0	2	0	0	0	0	2	0	0	0	17818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
13722.58cfa831e4b0c9d6adf6c7fc	0	0	1	0	0	0	0	0	0	0	0	17465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13722.58cfa831e4b0c9d6adf6c836	0	0	0	0	0	0	0	0	0	0	0	16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
13722.58cfa831e4b0c9d6adf6c885	0	0	0	0	0	0	0	10	0	0	0	11966	0	0	0	0	68	0	0	0	0	0	0	0	0	1	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c82b	0	0	6	0	0	0	0	0	0	0	0	27762	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	9	9	0
