sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa830e4b0c9d6adf6bf50	0	0	0	0	0	0	0	20159	0	0	0	0	67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	168
13722.58cfa830e4b0c9d6adf6bcc6	0	0	0	0	2	2	0	7111	1	0	0	0	172	14	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	587
13722.58cfa830e4b0c9d6adf6bf44	0	0	0	0	8	0	0	19504	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	59
13722.58cfa830e4b0c9d6adf6c062	0	0	0	0	0	0	0	19185	0	0	0	0	205	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	444
13722.58cfa830e4b0c9d6adf6c134	0	0	0	0	2	0	0	15511	1	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	291
13722.58cfa830e4b0c9d6adf6c128	0	0	0	0	0	0	0	6046	1	0	0	0	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	77
13722.58cfa830e4b0c9d6adf6bf55	0	0	0	0	6	0	0	20854	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8
13722.58cfa830e4b0c9d6adf6c02e	0	0	0	0	0	0	0	26270	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	59
13722.58cfa830e4b0c9d6adf6c1a0	0	0	0	0	4	0	0	19676	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	66
13722.58cfa830e4b0c9d6adf6c136	0	0	0	0	2	0	0	21731	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5
13722.58cfa830e4b0c9d6adf6c1a6	0	0	0	0	0	0	0	14516	0	0	0	0	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	79
13722.58cfa830e4b0c9d6adf6c138	0	0	0	0	2	0	0	22805	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20
13722.58cfa830e4b0c9d6adf6c1d4	0	0	0	0	0	0	0	20612	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa830e4b0c9d6adf6c1e1	0	0	0	0	2	0	0	29371	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13
13722.58cfa830e4b0c9d6adf6bf40	0	0	0	0	0	0	0	24834	1	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	36	0	2	0	382
13722.58cfa830e4b0c9d6adf6c202	0	0	0	0	0	0	0	17935	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
13722.58cfa830e4b0c9d6adf6c208	0	0	0	0	2	0	0	18488	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	34
13722.58cfa830e4b0c9d6adf6c232	0	0	0	0	0	0	0	22792	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2
13722.58cfa830e4b0c9d6adf6c236	0	0	0	0	2	0	0	18958	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	91
13722.58cfa830e4b0c9d6adf6c234	0	0	0	0	0	0	0	29778	1	0	0	1	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	6
13722.58cfa830e4b0c9d6adf6c286	0	0	0	0	0	0	0	3421	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
13722.58cfa830e4b0c9d6adf6c23a	0	0	0	0	0	0	0	34078	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	8
13722.58cfa830e4b0c9d6adf6c29c	0	0	0	0	0	0	0	17403	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	21
13722.58cfa830e4b0c9d6adf6c2a8	0	0	0	0	5	0	0	17474	0	0	0	1	121	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	1	325
13722.58cfa830e4b0c9d6adf6c2aa	0	0	0	0	2	0	0	25439	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	58
13722.58cfa830e4b0c9d6adf6c25a	0	0	0	0	0	0	0	19539	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
13722.58cfa831e4b0c9d6adf6c34a	0	0	0	0	0	0	0	4326	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
13722.58cfa830e4b0c9d6adf6c2db	0	0	0	0	2	0	0	25605	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
13722.58cfa830e4b0c9d6adf6c31e	0	0	0	0	0	0	0	10453	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
13722.58cfa831e4b0c9d6adf6c389	0	0	0	0	0	0	0	2114	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6c366	0	1	0	0	0	0	0	15145	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
13722.58cfa831e4b0c9d6adf6c3b0	0	0	0	0	0	0	0	2654	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	219
13722.58cfa831e4b0c9d6adf6c37e	0	0	0	0	0	0	0	18464	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18
13722.58cfa831e4b0c9d6adf6c3b8	0	0	0	0	0	0	0	19706	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
13722.58cfa831e4b0c9d6adf6c3ca	2	0	0	0	2	0	0	19008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6c3d6	15	0	0	0	0	0	0	19005	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13722.58cfa831e4b0c9d6adf6c3dc	0	0	0	0	0	0	0	5166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3f0	0	0	0	0	0	0	0	6662	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
13722.58cfa831e4b0c9d6adf6c3fc	0	0	0	0	0	0	0	21895	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
13722.58cfa831e4b0c9d6adf6c444	0	0	0	0	4	0	0	17633	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	27
13722.58cfa831e4b0c9d6adf6c39a	0	0	0	0	0	0	0	19917	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
13722.58cfa831e4b0c9d6adf6c481	0	0	0	0	0	0	0	26438	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6c3fa	0	0	0	0	0	0	0	27134	2	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32	0	1	17
13722.58cfa831e4b0c9d6adf6c488	0	0	0	0	0	0	0	6228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13722.58cfa831e4b0c9d6adf6c4ae	0	0	0	0	0	0	0	15900	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13
13722.58cfa831e4b0c9d6adf6c53a	0	0	0	0	0	0	0	20538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3
13722.58cfa831e4b0c9d6adf6c57b	0	0	0	0	0	0	0	4526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c594	0	0	0	0	0	0	0	5106	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
13722.58cfa831e4b0c9d6adf6c5c8	0	0	0	0	0	0	0	5546	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
