G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	0	0	0	0	0	0	0	0	0	4389	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	15	0	20289	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	10	0	16576	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4278	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	1	0	0	0	0	0	0	0	0	19185	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	14966	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0
0	0	1	0	0	0	0	0	0	0	0	12461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0
0	0	0	0	0	0	0	0	0	0	0	17955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	16	0
0	0	3	0	0	0	0	0	0	0	0	27902	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	2	0
0	1	0	0	0	0	0	0	0	0	0	36757	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
0	0	0	0	0	0	0	0	0	0	0	14974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
0	0	0	0	0	0	0	0	0	0	0	14384	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	6	0
0	0	1	0	0	0	0	6	0	0	0	22396	1	0	2	0	26	0	0	0	0	0	0	0	0	0	1	3	1	15	0
0	0	4	0	0	0	0	0	0	0	0	14997	0	1	0	0	10	0	0	0	0	0	0	0	0	0	1	1	1	1	0
