Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
0	0	0	0	0	0	0	27772	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	58
0	0	0	0	0	0	0	27719	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	57
0	0	0	0	0	0	0	15329	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
0	0	0	0	0	0	0	13787	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
0	0	0	0	3	0	0	16160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	23963	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
0	0	0	0	0	0	0	4689	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	17941	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3
0	0	0	0	0	0	0	17254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
0	0	0	0	0	0	0	17309	2	0	0	0	156	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	380
0	0	0	0	0	0	0	12316	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
0	0	0	0	2	0	0	11593	2	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0	1529
0	0	0	0	0	0	0	4303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	17760	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15
0	0	0	0	0	0	0	15688	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4
0	0	0	0	0	0	0	7003	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5
0	0	0	0	0	0	0	12648	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6
0	0	0	0	0	0	0	5079	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	2	0	0	25203	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7
0	0	0	0	0	0	0	4389	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
0	0	0	0	0	0	0	20289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0	2	0	0	16576	0	0	0	0	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	52
0	0	0	0	0	0	0	4278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	19185	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2
0	0	0	0	0	0	0	14966	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	8
0	0	0	0	0	0	0	12461	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	603
0	0	0	0	0	0	0	17955	0	0	0	0	2178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6925
0	0	0	0	0	0	0	27902	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	2
1	0	0	0	0	0	0	36757	1	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40
0	0	0	0	0	0	0	14974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1
0	0	0	0	0	0	0	14384	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2
0	0	0	0	6	0	0	22396	1	0	1	0	28833	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	2	96488
0	0	0	0	0	0	0	14997	0	0	0	0	68	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	207
0	0	0	0	0	0	0	14445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0
0	0	0	0	2	1	0	8609	0	0	0	1	1545	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	21	0	0	4655
0	0	0	0	1	0	0	19121	1	0	8	0	18	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	7	2	74
0	0	7	0	7	1	0	12639	0	0	0	0	22807	36	2	0	0	0	0	0	0	19	7	0	0	5	0	0	0	3	159	0	0	71032
0	0	0	0	0	0	0	8190	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19
0	0	0	0	2	0	0	14666	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	6
0	0	0	0	4	0	0	34969	1	0	0	0	1	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1
0	0	0	0	0	0	0	27249	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
0	0	0	0	2	0	0	30740	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	27
0	1	0	0	3	0	0	50576	162	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	59
