sampleid,G000002515,G000002545,G000003855,G000006335,G000006445,G000026945,G000091025,G000146045,G000149425,G000149645,G000149955,G000181695,G000182965,G000185945,G000226395,G000243375,G000300575,G000315645,G000349305,G000721785,G000769745,G001298625,G001417885,G001642055,G001661405,G002079055,G002775015,G003290485,G004154835,G004353045,G900007375
13722.58cfa831e4b0c9d6adf6ca93,0,0,10,0,0,0,0,0,0,0,0,27719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
13722.58cfa831e4b0c9d6adf6cb25,0,0,0,0,0,0,0,0,0,0,0,15329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6ca01,0,0,0,0,0,0,0,0,0,0,0,13787,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cbd9,0,0,0,0,0,0,0,3,0,0,0,16160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cba8,0,0,0,0,0,0,0,0,0,0,0,23963,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6cbfc,0,0,0,0,0,0,0,0,0,0,0,4689,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cc23,0,0,0,0,0,0,0,0,0,0,0,17941,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6cdb6,0,0,0,0,0,0,0,0,0,0,0,17254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
13722.58cfa832e4b0c9d6adf6ce8a,0,0,0,0,0,0,0,0,0,0,0,17309,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13722.58cfa832e4b0c9d6adf6ce96,0,0,1,0,0,0,0,0,0,0,0,12316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
13722.58cfa831e4b0c9d6adf6cd7a,0,0,7,0,0,0,0,2,0,0,0,11593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,72,0
13722.58cfa832e4b0c9d6adf6cf46,0,0,0,0,0,0,0,0,0,0,0,4303,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa832e4b0c9d6adf6cf7a,0,0,0,0,0,0,0,0,0,4,0,17760,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa832e4b0c9d6adf6cf82,0,0,0,0,0,0,0,0,0,0,0,15688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa832e4b0c9d6adf6cfdc,0,0,0,0,0,0,0,0,0,0,0,7003,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
13722.58cfa832e4b0c9d6adf6d018,0,0,14,0,0,0,0,0,0,0,0,12648,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,5,2,2,0
13722.58cfa832e4b0c9d6adf6d04e,0,0,0,0,0,0,0,0,0,0,0,5079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa832e4b0c9d6adf6d044,0,0,0,0,0,1,0,2,0,0,0,25203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
13722.58cfa832e4b0c9d6adf6d188,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa832e4b0c9d6adf6d10e,0,0,0,0,0,0,0,0,0,15,0,20289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa832e4b0c9d6adf6d194,0,0,0,0,0,0,0,2,0,10,0,16576,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa832e4b0c9d6adf6d1dc,0,0,0,0,0,0,0,0,0,0,0,4278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa832e4b0c9d6adf6d1b5,0,0,1,0,0,0,0,0,0,0,0,19185,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa832e4b0c9d6adf6d288,0,0,0,0,0,0,0,0,0,0,0,14966,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0
13722.58cfa82ee4b0c9d6adf6b092,0,0,1,0,0,0,0,0,0,0,0,12461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0
13722.58cfa82fe4b0c9d6adf6b62e,0,0,0,0,0,0,0,0,0,0,0,17955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,16,0
